group,pixel_md5,split,label,path
21,67669221fd8a5379c4e2a0457f6ec4f1,test,006,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_006/mmhc7_236.tif
21,67669221fd8a5379c4e2a0457f6ec4f1,train,006,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_006/mmhc7_710.tif
22,18838c06e281754c1051a6ba274f06ab,test,007,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_007/mmhc8_99.tif
22,18838c06e281754c1051a6ba274f06ab,test,007,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_007/mmhc8_239.tif
23,159e198fbb62493f59d6bb740389db4f,test,008,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_008/mmhc9_118.tif
23,159e198fbb62493f59d6bb740389db4f,train,008,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_008/mmhc9_650.tif
24,75e5fd2e1714aa3d8a58d346c6a22406,test,008,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_008/mmhc9_228.tif
24,75e5fd2e1714aa3d8a58d346c6a22406,train,008,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_008/mmhc9_1221.tif
25,1ab3bdcce2b155cabbba0fd1dc2cd9c3,test,008,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_008/mmhc9_250.tif
25,1ab3bdcce2b155cabbba0fd1dc2cd9c3,train,008,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_008/mmhc9_1237.tif
26,29decc589a965c6ac693f14c25ab8015,test,008,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_008/mmhc9_268.tif
26,29decc589a965c6ac693f14c25ab8015,train,008,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_008/mmhc9_1299.tif
27,5dea82e59837221c94cf8f35866201cf,test,009,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_009/mmhc10_82.tif
27,5dea82e59837221c94cf8f35866201cf,train,009,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_009/mmhc10_1564.tif
28,093b63fc5ed10d2ae0bcdace7fbbc32e,test,009,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_009/mmhc10_169.tif
28,093b63fc5ed10d2ae0bcdace7fbbc32e,train,009,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_009/mmhc10_758.tif
29,f4d8b8ea4ccf896b2617ec7ea871e777,test,009,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_009/mmhc10_177.tif
29,f4d8b8ea4ccf896b2617ec7ea871e777,train,009,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_009/mmhc10_1089.tif
30,501c20bd3c1aa1683ea21f6e9a8cb383,test,009,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_009/mmhc10_279.tif
30,501c20bd3c1aa1683ea21f6e9a8cb383,train,009,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_009/mmhc10_1424.tif
31,6613943d629576c3381672107931da9f,test,009,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_009/mmhc10_281.tif
31,6613943d629576c3381672107931da9f,train,009,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_009/mmhc10_960.tif
32,28c2501cb9f80771fec12cf5e50a728b,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_1.tif
32,28c2501cb9f80771fec12cf5e50a728b,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_93.tif
33,4fceaaaa0ab9cbce439889d310711a2a,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_19.tif
33,4fceaaaa0ab9cbce439889d310711a2a,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_24.tif
34,b322fbbd47668e1f854b4fe5808e37f3,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_41.tif
34,b322fbbd47668e1f854b4fe5808e37f3,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_271.tif
35,5f26273fc345f8b4f51e754f2394d989,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_49.tif
35,5f26273fc345f8b4f51e754f2394d989,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_195.tif
36,1157d63f901f9f4ec4c8068d4b3422f4,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_55.tif
36,1157d63f901f9f4ec4c8068d4b3422f4,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_615.tif
37,b0a05467299b48712e9615d669a3270a,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_56.tif
37,b0a05467299b48712e9615d669a3270a,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_258.tif
38,3726f2cad81c5dabea4bc9864eddae04,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_82.tif
38,3726f2cad81c5dabea4bc9864eddae04,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_103.tif
39,74cafe6788535da87cfa5f3927977d14,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_87.tif
39,74cafe6788535da87cfa5f3927977d14,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_467.tif
40,64a81a60c795c4ba2c78bd4ccdadf457,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_88.tif
40,64a81a60c795c4ba2c78bd4ccdadf457,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_131.tif
41,0b01c373270ea82fd08418a8656ba58d,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_89.tif
41,0b01c373270ea82fd08418a8656ba58d,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_518.tif
41,0b01c373270ea82fd08418a8656ba58d,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_539.tif
42,c84db1e706af822f5235cf2cd0108257,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_90.tif
42,c84db1e706af822f5235cf2cd0108257,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_913.tif
42,c84db1e706af822f5235cf2cd0108257,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_1114.tif
43,0ee013b7edbe6142dda410f8e66a5f6d,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_91.tif
43,0ee013b7edbe6142dda410f8e66a5f6d,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_859.tif
43,0ee013b7edbe6142dda410f8e66a5f6d,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_1107.tif
44,6e4326c1cb8b84ed1ea570ebfc1c9487,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_96.tif
44,6e4326c1cb8b84ed1ea570ebfc1c9487,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_367.tif
45,208c17cef0e0895a05334c4dc8a7bad9,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_99.tif
45,208c17cef0e0895a05334c4dc8a7bad9,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_849.tif
46,366d91c417fdbe88a51bd4499fc78db5,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_107.tif
46,366d91c417fdbe88a51bd4499fc78db5,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_1119.tif
47,90280c6ffbfe72fc07841615692c88b3,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_110.tif
47,90280c6ffbfe72fc07841615692c88b3,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_408.tif
48,4379b9307e09abeb5af6d12ed643d0fb,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_126.tif
48,4379b9307e09abeb5af6d12ed643d0fb,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_1103.tif
49,d23c689bd12a71db40fa35cf3448c33a,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_128.tif
49,d23c689bd12a71db40fa35cf3448c33a,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_181.tif
50,ce276d210ca0d6032e24bfd52f5350aa,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_132.tif
50,ce276d210ca0d6032e24bfd52f5350aa,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_298.tif
51,7f2176d73ff576b675dea0c74c1330f3,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_149.tif
51,7f2176d73ff576b675dea0c74c1330f3,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_1249.tif
52,74ee226a2762c0124f72e2e4303e60fa,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_158.tif
52,74ee226a2762c0124f72e2e4303e60fa,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_109.tif
52,74ee226a2762c0124f72e2e4303e60fa,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_1170.tif
53,fde1684187bb6c790c6dc36a58ece351,test,010,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_010/mmhc11_183.tif
53,fde1684187bb6c790c6dc36a58ece351,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_582.tif
53,fde1684187bb6c790c6dc36a58ece351,train,010,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_010/mmhc11_855.tif
54,cc5291fbe97424c0ec7a2754f3033c20,test,011,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_011/mmhc12_82.tif
54,cc5291fbe97424c0ec7a2754f3033c20,train,011,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_011/mmhc12_190.tif
55,0a1aa712cddffb72a1aff1e6d1fdf48d,test,011,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_011/mmhc12_108.tif
55,0a1aa712cddffb72a1aff1e6d1fdf48d,train,011,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_011/mmhc12_1286.tif
56,f85a87c8d80ad006106e23c8e3b45878,test,011,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_011/mmhc12_171.tif
56,f85a87c8d80ad006106e23c8e3b45878,train,011,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_011/mmhc12_281.tif
57,1c740e6ee8bb6b65847c5489fa44ea98,test,011,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_011/mmhc12_179.tif
57,1c740e6ee8bb6b65847c5489fa44ea98,train,011,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_011/mmhc12_1118.tif
58,3995c23a2f6dd63b8a3f8dfd3f8b30e4,test,011,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_011/mmhc12_198.tif
58,3995c23a2f6dd63b8a3f8dfd3f8b30e4,train,011,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_011/mmhc12_1067.tif
59,f16446bd4db6b8eb6f415a38b32127f2,test,012,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_012/mmhc13_14.tif
59,f16446bd4db6b8eb6f415a38b32127f2,train,012,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_012/mmhc13_145.tif
60,ca4a9d9af271ba4071bc01648ab7105f,test,012,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_012/mmhc13_98.tif
60,ca4a9d9af271ba4071bc01648ab7105f,train,012,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_012/mmhc13_269.tif
61,834dc55efb586337d19657db45e167d2,test,012,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_012/mmhc13_162.tif
61,834dc55efb586337d19657db45e167d2,train,012,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_012/mmhc13_1218.tif
62,666460a5bee38a1ddad7622d01f984cf,test,012,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_012/mmhc13_174.tif
62,666460a5bee38a1ddad7622d01f984cf,train,012,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_012/mmhc13_448.tif
63,3c78066a4787276d074061e5a67f8280,test,013,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_013/mmhc14_28.tif
63,3c78066a4787276d074061e5a67f8280,test,013,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_013/mmhc14_109.tif
64,ef609dfc74cf20c2a0750a7bc56508b7,test,013,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_013/mmhc14_90.tif
64,ef609dfc74cf20c2a0750a7bc56508b7,train,013,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_013/mmhc14_899.tif
65,13c05f03ab519918272fb8d148044226,test,013,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_013/mmhc14_126.tif
65,13c05f03ab519918272fb8d148044226,train,013,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_013/mmhc14_342.tif
66,db7bd704478f78b97dfcd5ec29dd30cb,test,013,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_013/mmhc14_131.tif
66,db7bd704478f78b97dfcd5ec29dd30cb,train,013,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_013/mmhc14_611.tif
67,5bd03448c37e9f7982b6269282b5d816,test,013,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_013/mmhc14_199.tif
67,5bd03448c37e9f7982b6269282b5d816,train,013,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_013/mmhc14_479.tif
68,426c3d52d8567e58c25f05368c1f01a1,test,014,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_014/mmhc15_9.tif
68,426c3d52d8567e58c25f05368c1f01a1,train,014,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_014/mmhc15_119.tif
69,c3c58f34db74f657ee13c0b219a78b58,test,014,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_014/mmhc15_10.tif
69,c3c58f34db74f657ee13c0b219a78b58,train,014,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_014/mmhc15_219.tif
70,ad72aa52a4ee28dd82b3ccd7f92185df,test,015,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_015/mmhc16_13.tif
70,ad72aa52a4ee28dd82b3ccd7f92185df,train,015,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_015/mmhc16_758.tif
71,bc0139536aef00298277812b92dcb89b,test,015,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_015/mmhc16_98.tif
71,bc0139536aef00298277812b92dcb89b,train,015,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_015/mmhc16_1217.tif
72,56b4a314342e766c1331e5d19acbcaa4,test,015,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_015/mmhc16_100.tif
72,56b4a314342e766c1331e5d19acbcaa4,train,015,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_015/mmhc16_691.tif
73,0acac9cbe5350a2db89f93430b50866c,test,015,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_015/mmhc16_158.tif
73,0acac9cbe5350a2db89f93430b50866c,train,015,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_015/mmhc16_1161.tif
74,fb202d313950c92e433d171a9a142104,test,016,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_016/mmhc17_191.tif
74,fb202d313950c92e433d171a9a142104,train,016,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_016/mmhc17_81.tif
75,b248601ee06e67f61fcc6b36ef3cb9a7,test,016,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_016/mmhc17_194.tif
75,b248601ee06e67f61fcc6b36ef3cb9a7,train,016,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_016/mmhc17_1304.tif
76,c285f676d5c11e356da5c763fd1129cc,test,017,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_017/mmhc18_8.tif
76,c285f676d5c11e356da5c763fd1129cc,train,017,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_017/mmhc18_421.tif
77,53ce48b0ecc3e8055ba691422e65d75f,test,017,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_017/mmhc18_98.tif
77,53ce48b0ecc3e8055ba691422e65d75f,train,017,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_017/mmhc18_1299.tif
78,dcead1e23876c14861a03d561d9d8c15,test,017,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_017/mmhc18_177.tif
78,dcead1e23876c14861a03d561d9d8c15,train,017,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_017/mmhc18_532.tif
79,5ceceaf7e5516ea91e7ff72d62758fdc,test,017,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_017/mmhc18_228.tif
79,5ceceaf7e5516ea91e7ff72d62758fdc,train,016,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_016/mmhc17_1025.tif
80,daa474fd80fe793ca289cd20663c9669,test,018,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_018/mmhc19_38.tif
80,daa474fd80fe793ca289cd20663c9669,train,018,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_018/mmhc19_340.tif
81,b2c4494bf096ad6428eac95be2fb60f5,test,018,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_018/mmhc19_196.tif
81,b2c4494bf096ad6428eac95be2fb60f5,train,018,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_018/mmhc19_713.tif
82,412e3437b987f5986baffeefeb77a7da,test,019,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_019/mmhc20_16.tif
82,412e3437b987f5986baffeefeb77a7da,test,019,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_019/mmhc20_38.tif
83,f7542bc54299a6f514d03927589dcb10,test,019,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_019/mmhc20_99.tif
83,f7542bc54299a6f514d03927589dcb10,train,019,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_019/mmhc20_718.tif
84,6e1947d685d96de000a7fb0ab36ce74e,test,019,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_019/mmhc20_176.tif
84,6e1947d685d96de000a7fb0ab36ce74e,train,019,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_019/mmhc20_314.tif
85,c80b4d4b6f930b2f25a5178a952470d1,test,020,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_020/mmhc21_54.tif
85,c80b4d4b6f930b2f25a5178a952470d1,train,020,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_020/mmhc21_1197.tif
86,937f31e6ffad63e03ec453181e1f727b,test,020,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_020/mmhc21_55.tif
86,937f31e6ffad63e03ec453181e1f727b,train,020,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_020/mmhc21_216.tif
87,db39cc899be2b43e202b55ca59a6bcf4,test,020,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_020/mmhc21_153.tif
87,db39cc899be2b43e202b55ca59a6bcf4,train,020,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_020/mmhc21_1123.tif
88,215dd68a288c8bab94f8b1fd7228e36f,test,021,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_021/mmhc22_51.tif
88,215dd68a288c8bab94f8b1fd7228e36f,test,021,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_021/mmhc22_122.tif
89,73921e91f9519d6520edcd1383278d6a,test,021,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_021/mmhc22_161.tif
89,73921e91f9519d6520edcd1383278d6a,train,021,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_021/mmhc22_332.tif
90,83a1843e938a3d15c1a5499017142e9d,test,022,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_022/mmhc23_1.tif
90,83a1843e938a3d15c1a5499017142e9d,train,022,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_022/mmhc23_98.tif
91,6e08d98d1b3dbe0609198f3009c84b71,test,022,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_022/mmhc23_96.tif
91,6e08d98d1b3dbe0609198f3009c84b71,train,022,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_022/mmhc23_491.tif
92,248968f14909b995e8ffab47f19fa82d,test,022,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_022/mmhc23_97.tif
92,248968f14909b995e8ffab47f19fa82d,train,022,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_022/mmhc23_1196.tif
93,d8d6184c5ff190c3e9e8aa681cfe6fb2,test,023,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_023/mmhc24_86.tif
93,d8d6184c5ff190c3e9e8aa681cfe6fb2,train,023,TUMMHCD-TEST-TRAIN/TUMMHCDtrain/train_023/mmhc24_497.tif
94,ebc73ac91ab348394d1fe107dfe7d96f,test,023,TUMMHCD-TEST-TRAIN/TUMMHCDtest/test_023/mmhc24_87.tif
