word,count,position,where,before,written,convention,twin,twin_count,hint,expert_verdict
ꯊꯨꯏ,1,3,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯊꯨꯢ,0,only this spelling in the list,
ꯋꯥꯡꯒꯣꯏ,1,6,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯋꯥꯡꯒꯣꯢ,1,both spellings,
ꯌꯥꯡꯢ,1,4,after a final (lonsum),ꯡ,ꯢ,ꯏ,ꯌꯥꯡꯏ,0,only this spelling in the list,
ꯌꯦꯡꯂꯨꯏ,1,6,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯌꯦꯡꯂꯨꯢ,0,only this spelling in the list,
ꯍꯥꯏꯕ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯍꯥꯢꯕ,34,variant: the twin is more frequent,
ꯍꯨꯏꯃꯨ,1,3,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯍꯨꯢꯃꯨ,2,variant: the twin is more frequent,
ꯑꯣꯏꯅꯥꯝꯆꯥ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯑꯣꯢꯅꯥꯝꯆꯥ,7,variant: the twin is more frequent,
ꯑꯣꯏꯕ,1,3,"after aa, o or u",ꯣ,ꯏ,ꯢ,ꯑꯣꯢꯕ,967,variant: the twin is more frequent,
ꯑꯣꯟꯊꯣꯛꯢ,1,7,after a final (lonsum),ꯛ,ꯢ,ꯏ,ꯑꯣꯟꯊꯣꯛꯏ,0,only this spelling in the list,
ꯑꯥꯏꯑꯦꯁꯇꯤ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯑꯥꯢꯑꯦꯁꯇꯤ,0,only this spelling in the list,
ꯔꯥꯏꯑꯣꯟ,1,3,"after aa, o or u",ꯥ,ꯏ,ꯢ,ꯔꯥꯢꯑꯣꯟ,0,only this spelling in the list,
ꯕꯩꯌꯨꯏꯗꯥꯗꯤ,1,5,"after aa, o or u",ꯨ,ꯏ,ꯢ,ꯕꯩꯌꯨꯢꯗꯥꯗꯤ,0,only this spelling in the list,
ꯢꯀꯣꯄ,1,1,word start,,ꯢ,ꯏ,ꯏꯀꯣꯄ,0,only this spelling in the list,
ꯢꯁꯥ,1,1,word start,,ꯢ,ꯏ,ꯏꯁꯥ,0,only this spelling in the list,
ꯢꯁꯪ,1,1,word start,,ꯢ,ꯏ,ꯏꯁꯪ,0,only this spelling in the list,
ꯢꯁ꯭ꯇ,1,1,word start,,ꯢ,ꯏ,ꯏꯁ꯭ꯇ,0,only this spelling in the list,
ꯢꯌꯥꯃꯄꯅ,1,1,word start,,ꯢ,ꯏ,ꯏꯌꯥꯃꯄꯅ,0,only this spelling in the list,
ꯢꯔꯦꯪꯄꯅ,1,1,word start,,ꯢ,ꯏ,ꯏꯔꯦꯪꯄꯅ,0,only this spelling in the list,
ꯢꯛꯥꯌꯒꯗꯕꯥ,1,1,word start,,ꯢ,ꯏ,ꯏꯛꯥꯌꯒꯗꯕꯥ,0,only this spelling in the list,
